ticker,MDS1,MDS2
A,-0.5355591786974606,0.7548882016896031
AAPL,-1.845762912579548,-1.7944413069325187
ABNB,-2.164631476161817,-0.6197328033558548
ABT,-0.50644798592865,1.0609124831263979
ADBE,-1.7339989515517824,-0.4329912232705019
ADP,0.8092278693713529,-1.1927581959591398
AEO,0.9698124832402648,1.237899089140078
AEP,0.2540238055667102,-0.2916982331044528
AFL,0.2546054500977778,-0.47903545831128513
AFRM,0.8680820772842432,-0.03514400326000556
AKAM,-0.19403445850090273,0.40880850363887794
ALB,-0.27584196536736827,1.1455663355248555
ALGN,-0.4321501123962574,1.4044548728483206
ALL,0.4781393976999353,-0.0836371934797644
ALLY,1.4670123929512333,-1.9673814931626628
ALNY,-0.1822631942398574,-1.6262180567312174
AMAT,-1.5526253126579612,0.7692698244005373
AMC,2.3752810349690847,-0.970420895128055
AMD,-1.3190773007900802,1.9687763449554985
AME,-0.8213988480606055,1.145262695512921
AMGN,1.0708538071561737,-1.4845036453667222
AMPX,-3.2741919330241354,0.11046496658633471
AMT,1.3628508982648235,-2.791558955026875
AMZN,0.4780922393614396,0.9991329297413093
ANF,1.0194383499068087,1.5036772032787389
AON,0.45375775419769976,-0.6786080931301038
APA,0.05452752497876941,0.1047040500530572
APD,0.3439491356765291,0.556121060826152
AR,-0.04538642894603721,1.1736773016118258
ASPI,-5.309596509084075,-1.9923464026786613
ASTS,-3.8402957249018304,-1.9398747103507252
ATNI,0.6664821386824794,0.38368466599615486
AUR,-9.654113112651286,-2.70839845193637
AVB,-0.9772059852418736,0.27767065752327114
AVGO,-1.4099916850458594,0.006444106108276568
AVY,1.0066708556722743,0.30666373198884433
AWI,-0.7867853511852589,0.5597025760005346
AXON,-0.5414440125738301,1.4240090532002754
AXP,0.6682259699583626,-1.5165444394259129
BA,2.7294830103473346,-2.7841318058516604
BAC,1.0302833300556877,-1.9250399799548499
BAH,2.176541434279805,0.11859364117409588
BALL,0.7457604118835126,0.18998703460154356
BAX,0.5226595211936385,0.1962704304091664
BBWI,1.5087715870797394,0.6753882639669755
BDX,0.08322995489903881,0.7161109588585854
BIIB,-0.42766784017246334,1.193494608460832
BILL,-0.6342842301906619,-0.4930261881420375
BJ,2.6373927975521805,2.061021492798456
BK,0.864322897601231,-1.8684128325259148
BKR,0.15838269610770517,0.7855128399049076
BLDR,1.0694891938640343,1.0948206944336791
BLK,-0.09604822209047294,-0.13841154274938589
BMY,0.0511700335692621,-0.8087595409811693
BOOT,0.2545207755688737,1.2458822240589333
BSX,-0.2994264949412064,0.9217005008363239
BWA,0.787400902687333,0.9953550455385514
BWXT,0.6156178450463793,0.21334625387323092
CACI,0.5460999591936204,1.0352291044411517
