ticker,PC1,PC2
A,0.29050052129679244,-0.77155644517095
AAPL,0.8274044837996086,1.031946612857966
ABNB,1.770117427517071,0.2180018590792675
ABT,0.17561262159527188,-1.0569289375033009
ADBE,0.8587052111108578,0.035447787054090754
ADP,-0.515123032318395,1.1482635451670318
AEO,-0.9288702938851716,-0.7871273870582262
AEP,-0.43102341951631656,-0.11009592279823222
AFL,-0.4807673843703536,-0.0014826572377598188
AFRM,-0.9736286191719286,-0.3156521280507543
AKAM,0.004603176707599889,-0.6367968487031068
ALB,-0.23029195245331074,-1.1453727980693458
ALGN,0.07970098140732153,-1.250397260844046
ALL,-0.48356008767082725,0.05180101881045865
ALLY,-1.1132392166813094,1.519300868227008
ALNY,-0.003612257778650583,0.6507577519177072
AMAT,1.003668327248688,-0.6018745505201265
AMC,-1.2211183746513548,1.144607280819082
AMD,0.7882424568788403,-1.5977206326106466
AME,0.3782938069667895,-1.1434370395312876
AMGN,-0.6624764641372075,1.5022695870999092
AMPX,2.500265112781966,-0.3486570745897288
AMT,-0.7257598216807026,2.2849737080233417
AMZN,-0.6708864803617269,-0.8467085636930759
ANF,-0.41095288825721504,-0.4444362280327371
AON,-0.4373805496802965,0.476458735515803
APA,-0.12119238664907228,-0.24033687395950465
APD,-0.6778874937252035,-0.7403941389529284
AR,-0.44746894215276184,-1.1246479017831368
ASPI,5.335542695543265,0.953341892971585
ASTS,3.4696741345944853,0.31616300841477224
ATNI,-0.9090998814591214,-0.5428632111931652
AUR,9.555203000346758,0.7254677389037331
AVB,0.43462573924008535,-0.7469958338818756
AVGO,1.232984959130577,-0.30655711275312403
AVY,-0.7923375060358177,-0.046701043738165804
AWI,0.23817138415467473,-0.5044084044342709
AXON,-0.04517278151278275,-0.8295125899933526
AXP,-0.49639902231827104,1.160634392640102
BA,-1.912437838094954,2.567649842988823
BAC,-0.9037018006111784,1.3904445709185107
BAH,-1.0549818414472778,0.8518489650346431
BALL,-0.8668943111822596,-0.22345025331545926
BAX,-0.6420359432392869,-0.2976208854767287
BBWI,-0.6748152707312195,0.08071331716546089
BDX,-0.3905586496495004,-0.8238978327250165
BIIB,-0.10822422605576199,-1.203136398156136
BILL,-0.13851342138149852,-0.6270252026505824
BJ,-1.4177636449224638,-0.33973561317831696
BK,-0.7018411595593526,1.3517333385010923
BKR,-0.39503116257673265,-0.7746623871795462
BLDR,-1.022928259453802,-0.7011656760906956
BLK,-0.2701985118660887,-0.35718654679488726
BMY,0.05347312451852386,0.4012336397403554
BOOT,-0.4988895809021328,-1.0449374306325603
BSX,-0.0916631182693649,-0.9757766919373321
BWA,-0.8572485701270143,-0.764656237396213
BWXT,-0.6142812707627976,-0.15990087931523378
CACI,-0.7059098787477895,-0.8204684267427048
CAG,-0.4699027331824067,-0.6851950027143663
CAH,-2.9109187580552476,2.28735680094619
CARR,-0.6324691891435936,-0.5939882106457561
CASY,-0.9979666810893801,-0.7865851289403752
CAT,-0.5099207572361826,0.2562922154763071
CB,-0.458979183784776,-0.13603608717202767
CBOE,0.4181273131895628,-0.7594871333644381
CBRE,-1.1648570407555734,-0.4098808351679424
CCI,-1.337201061196638,2.83423498447267
CCL,-0.696003027006322,0.033816103650623784
CDW,-1.2761463390900347,0.4138073969689095
CE,-0.7734937502248517,0.3229944936863481
CF,0.24049397545870685,-0.07156026723116558
CFG,-0.7810862741160838,0.940802549037888
CHD,-0.22879363716141973,-0.665954372636118
CHTR,-1.0879137003854173,1.072707564422427
CI,-1.3590732947704236,-0.2817462077960751
CL,-1.5788714291016586,9.893713511688043
CLX,-1.1590185450776531,2.7428713905741904
CMCSA,-0.25147715387768416,-0.33471894766021215
CME,0.528555339020679,1.0978024510861817
CMG,-0.2513396198553194,-0.04461326485442306
CMI,-0.4476612441787954,-0.4997878556236333
CMS,-0.6810556880388248,0.04639009880577408
CNK,2.9246109864167438,-0.18677651279173613
COF,-0.8780173661982587,0.31980721954942937
COO,-0.10263655265579236,-1.3681664610124666
COP,-0.0762370499354228,-0.8920157648293561
COST,-1.352328910095536,-0.6134101425877005
COTY,-0.7852939837643224,-0.411816400850802
CPB,-0.9393061321758375,-0.17904819509125236
CPRI,-0.347430563892692,2.724563384194261
CRL,-0.7265991501062888,-0.8741628162287713
CRM,0.46615637449373526,-0.7787943575331023
CROX,-1.052523466681021,-0.44861672691114146
CRUS,1.2000448658615785,-1.4487410511493084
CRWD,0.11306488841246591,-0.5972666922023926
CSCO,0.30856598061911367,-0.32841832226189505
CSX,-0.19460738770784738,-0.09946462318067884
CTRA,0.4176236331422999,-0.9888957096333932
CTSH,0.005399565039748925,-1.4133140960031148
CVS,-1.4454596633403427,-0.4965711835788484
CVX,-0.40489748968311406,-1.2092125748178242
CWK,-1.415325366479682,-0.29821466479215364
CZR,-1.3517525227935447,0.8305143333503457
DASH,-0.06057780619684749,-1.1998076073212613
DD,-0.15134582721568562,-1.3327353916844284
DDOG,0.7331663335581579,-0.9964338093400583
DE,-0.5790123750307968,-0.0007202089558954428
DECK,0.873628787216912,-0.9578957338465846
DELL,-1.8611492688935922,3.1448477197174056
DG,-1.1337826349078064,-0.26451460222792295
DHI,-0.07114768946455778,-1.355196012947555
DHR,0.15347974537795972,-1.1792633193457545
DIOD,0.009120258795002853,-1.7217287136571404
DIS,-0.16100296272842402,-1.004706393338459
DKNG,-1.6798223934777716,0.39680598010999635
DLR,0.0196135237350116,-0.7832805763452135
DLTR,-0.8529163278699964,-0.14248164678858202
DNOW,-0.6984137124604447,-1.244720899093692
DOCU,0.28307476205181015,-0.6152317788730562
DOV,-0.06995529140700826,-0.9523168386334171
DUK,-0.4672359110105844,-0.07341961662891033
DVN,0.01307390179903994,-0.7252421840923714
DXCM,0.4577286145673422,-0.39797081307914206
EA,-0.149846102657979,-0.8679459310345758
EBAY,0.13652010501404746,0.18206897019943533
ECL,-0.2961449581705296,-0.49590104525270784
EL,-0.9703089034004564,0.22408311891035196
ELS,-0.14665567978121713,-0.1399044004667479
EMN,-0.6673932583674835,-0.7040600165093132
EMR,2.482145708393585,0.30348165458911786
EOG,0.3870807930379198,-0.8644516306832729
EPAM,-0.2178742793775931,-1.5734623545410729
EPRT,0.9391010340805664,-0.8242973214858444
EQIX,-0.3027772939307683,-0.38998036646885786
EQR,0.6204089710914346,-0.7190836463123181
EQT,0.4620413967761786,-1.0824554361240697
ES,-0.6091790140351002,-0.06404855500780755
ETN,-0.0590309031374556,-0.6736275123525135
ETR,-0.5535571575647702,0.04656686263978219
EVR,-0.05212470992765945,-0.46276138883168844
EW,0.7995350060123442,-1.3649695413249816
EXC,-0.6885478065906063,-0.05828449080446917
EXPI,-3.313290102676341,-1.5169391996429695
EXR,0.30385263569710513,-0.641649872719106
F,-1.3381273899340438,0.32586072162018753
FAF,-0.7000324338266048,-0.45375584041264444
FAST,0.6542457005254794,-1.2553887129008745
FCX,-0.1127618096077088,-0.7000394660682526
FDX,-0.9509264475690261,-0.42572649485296893
FFIV,0.8255964660761457,-0.7702453916803886
FIS,-0.7058720406084006,-0.772164097480964
FISV,-0.36629762169742247,-0.2708266419911002
FITB,-0.05732120030524868,1.4321140530497511
FLO,-1.208942302281156,-0.48758916351802695
FLUT,-0.8557430042241183,-0.4870722043695983
FMC,1.140539972372663,1.039991316710292
FNF,-1.3980382122348674,1.729371092626407
FOX,-0.08400252536231516,-0.8161853979046994
FTI,-0.5081726253169688,-0.3032930845362656
FTV,0.040308286539218155,-0.9645064365080537
G,-0.12244325068170292,-0.678103236338931
GD,-0.5468036427736438,-0.7505596293651918
GE,-0.5454599249092897,0.7785399439905608
GILD,0.41956762170558753,-0.15755019342609758
GIS,-0.5638976831143376,-0.11291266931608898
GM,-1.2138503600672341,-0.08803906784256117
