ticker,LDA1,LDA2
A,0.5409906201385546,0.1726097779542785
AAPL,1.7278764157538549,-0.833946248956652
ABNB,0.9716876651708231,0.9510341950915508
ABT,0.5146394455211226,0.23108831895340087
ADBE,0.793475330165799,-0.532338063850876
ADP,-0.7144192776832029,0.07315380410143378
AEO,0.4165112815252415,-0.8907798004295967
AEP,-0.7794647407925787,0.0155875879176898
AFL,-0.8556169037265723,0.25979929665107654
AFRM,-0.5103946071296255,-0.43017044473845767
AKAM,0.2952278990498035,0.2292335382280386
ALB,-0.06692233688700112,0.07993313032576078
ALGN,0.8190995101739142,0.21740582579650494
ALL,-0.1366335034969511,-0.3524084813228888
ALLY,-1.9308831734109215,0.03629119130191308
ALNY,1.3748582990934939,0.6443259925519056
AMAT,1.4395952935892447,0.16938415431971798
AMC,-0.4532221566841727,-0.9478544915558788
AMD,1.4274104319908039,1.0937707005195783
AME,0.3618810591768477,0.31199618263758794
AMGN,-1.0888875020968634,-0.0694436433846979
AMPX,1.0806507233661933,1.2996051401676683
AMT,-2.3142731334109885,0.574871189211382
AMZN,0.2441460759147405,-0.5779406291277507
ANF,0.966306040098085,-1.096050850032924
AON,-0.6897264205570067,-0.023682895638722005
APA,-0.2696092105693161,-0.4232232124845195
APD,-0.29709652687814636,-0.23488652715818162
AR,-0.07953343014551167,-0.08162490967204487
ASPI,1.1780858993310412,3.330760557025099
ASTS,-1.0389871017727108,3.9847479051526125
ATNI,-0.3350319489381898,-0.3360158694662717
AUR,1.9096706678691926,3.4983077491041845
AVB,-0.8914891933332391,0.5784270248851359
AVGO,0.5969491500036508,0.9506048595099157
AVY,0.2333755690346142,-0.7358160797013084
AWI,0.733552927810367,-0.4289423767257522
AXON,1.1285696270418057,0.7048479678682685
AXP,-1.6911727488410178,0.2859032502751702
BA,-1.6732972851267234,0.1114117928131294
BAC,-1.9720891012217188,0.7219603050382399
BAH,0.38010134878450286,-1.3074209276897628
BALL,-0.11264550506063455,-0.5154156901433826
BAX,0.10612473264101699,-0.20876418633812613
BBWI,0.606900760164919,-1.185357105004357
BDX,0.1660177583878445,0.05263572073876546
BIIB,-0.04049668842274676,0.15411305608451661
BILL,0.748890382523606,0.5825996652606641
BJ,0.9110758692602499,-1.9189422742880586
BK,-2.050252024565471,0.585119887080545
BKR,0.2959668949325007,-0.2710376841643156
BLDR,0.3080243939196486,-0.8966273673709088
BLK,-0.7369637814836938,0.4033308142758808
BMY,0.6024949073071993,0.3016192734906746
BOOT,0.39756297147111,-0.4803180011397193
BSX,0.06177083397706366,-0.015414862424364522
BWA,0.3393314741922158,-0.5159175049090378
BWXT,0.06203702625227012,-0.5507914553769174
CACI,0.36887407221366536,-0.5936713051726051
CAG,0.05454408177486058,-0.2543621251564599
CAH,-0.56451176494423,-2.1726507864531364
CARR,0.1012412152730634,-0.27083249018580036
CASY,0.7353480080100883,-1.246537420583873
CAT,0.03620455882037963,-0.42173022627456624
CB,-0.6677421378411487,0.06946692859562767
CBOE,0.1390094011104669,0.005681006675136788
CBRE,0.1780666020018035,-0.9040326687265237
CCI,-2.6555679026212426,-0.07816014480310461
CCL,-0.36986638121022125,-0.4365344333458754
CDW,0.02879286572163125,-1.0661653032461214
CE,-0.43971966796418205,-0.23939108861907082
CF,-0.10591248995859623,-0.17855137180127909
CFG,-1.6928796173810656,0.3943525467660707
CHD,0.3400495820956255,-0.2965085420926452
CHTR,-1.1588634995025264,-0.29171867845506116
CI,0.2578012302702076,-1.2053769184803753
CL,2.0204547716837995,-2.015387545081915
CLX,-0.4457382287278113,-0.6986852736400736
CMCSA,-0.20237822947482814,-0.20724610541119015
CME,-2.7648767319064924,1.4495721199255733
CMG,0.8967649617379271,-1.0984218955364342
CMI,0.5987545691018452,-0.5088454622010584
CMS,-0.7638064429871446,-0.12960674763060195
CNK,-3.7418329439140554,-1.6712800302173034
COF,-1.115915666542044,-0.39771886781738014
COO,0.2254332690380131,0.28626291425239947
COP,-0.005898247906358515,-0.14048045703652914
COST,1.4547557939834155,-2.319551388245999
COTY,-0.09692553362223502,-0.24973443268366802
CPB,-0.1702772739307076,-0.556539887692361
CPRI,-0.07173849485462566,-0.41080051535714035
CRL,-0.06662226102175195,-0.37311480529980867
CRM,0.5257232151548794,0.5594936806125723
CROX,-0.07035347836457112,-0.7475533770199522
CRUS,2.0470699138227726,0.7842692559155084
CRWD,1.1030408243453949,0.6009245714365443
CSCO,0.6789156116796135,0.4381524669719215
CSX,-0.5342143962900715,-0.04335014094665413
CTRA,-0.29585471210450337,0.21493936222566784
CTSH,0.8711958491562475,-0.3420799832791959
CVS,0.08528793464649967,-1.0501688384280679
CVX,0.16830762061627855,-0.17881759650456822
CWK,-0.0458713880246746,-0.9484583929118411
CZR,-0.9895029090384909,-0.30526863957002787
DASH,0.801006601734918,0.165294444083442
DD,0.19933062377125846,0.35086237811733895
DDOG,2.1478006184378056,1.3078428647172347
DE,-0.15060443227848347,-0.12519187841752424
DECK,1.9839615175855385,-0.8021484719725085
DELL,-1.2430097589808944,-0.5010480746225999
DG,0.19537125222799978,-1.0200319083105054
DHI,0.8012194842333238,-0.3044672968579911
DHR,0.19935900612581609,0.4545083763283851
DIOD,0.8812719964466805,0.40356042110130536
DIS,0.09839558861610916,-0.036425567456008334
DKNG,-0.5390139930365501,-0.9821719937846856
DLR,-0.7113655787185964,0.38843056841344115
DLTR,0.4854753362314865,-1.1166828568870513
DNOW,0.2284617923640348,-0.2816658385625571
DOCU,1.1340279348245943,0.1854259240013307
DOV,0.3796565831619631,-0.0700587757945174
DUK,-0.8648980721282468,-0.05021740042143949
DVN,0.019499574247634856,-0.24700415424626757
DXCM,0.9889842396006419,0.019509883327823257
EA,0.060091002292360564,-0.2775478596087281
EBAY,0.7453896047437163,0.13449107433579144
ECL,0.19949879386539388,-0.32585614977165916
EL,-0.2376102209409425,-0.5769514819467919
ELS,-0.6607400945054258,0.041131578126345915
EMN,0.11582221994896286,-0.26358015056317574
EMR,0.07215400827840415,1.8937571631351229
EOG,-0.037335909513111595,0.05649064458098837
EPAM,0.7925587813229859,-0.3789423139827429
EPRT,-1.3382661643018858,1.1273009637586153
EQIX,-0.6369843298778386,-0.09282286510647358
EQR,-0.9212224678806097,0.7511036230384441
EQT,-0.54869567379081,0.4033526608524258
ES,-0.735590078834318,-0.13903910598651337
ETN,0.45113786109742143,-0.1705349234493959
ETR,-0.8937468239936852,-0.13878027320112882
EVR,0.23077356245098135,-0.4478930147293931
EW,1.0987441558304685,0.9048068349809049
EXC,-0.7143784816479588,-0.1433411806942312
EXPI,3.4128674794526486,-5.949432825730885
EXR,-0.9738920960369045,0.5188107131314483
F,-0.5862014056227098,-0.5548868654815573
FAF,-0.19354842699749605,-0.2901106305447567
FAST,2.0379668813522223,-0.9143798804847695
FCX,-0.06704711788580123,0.05522598509568863
FDX,0.12560010476790612,-0.7313023122607017
FFIV,0.9995589385652743,0.6892781182806167
FIS,-0.2831976741316188,-0.2815587222149691
FISV,-0.5573808765641781,-0.03380899538450338
FITB,-2.6443721906770725,0.8191298576824201
FLO,0.06082849463953378,-0.8891674395179153
FLUT,0.09930335413593423,-0.21462992461508337
FMC,-0.3790809144805991,0.9975792373104554
FNF,-1.8502060279909345,-0.10996669739626419
FOX,0.3648618345138054,-0.29635519199392607
FTI,0.36391613276647217,-0.7185659774914088
FTV,0.18967549540828696,0.27766021841399463
G,0.6543922206924246,-0.4784401840927655
GD,0.3836864462772459,-0.548370855047515
GE,-0.6492540304146499,0.045798832742053486
GILD,0.01461149673369307,-0.04609972578248112
GIS,-0.05903612991572577,-0.36358664867312246
GM,-0.42408478330728844,-0.6182961583224582
GNRC,0.410147413116725,-0.22566927633051023
GO,0.48818066914252145,-1.0774424893276455
GOOGL,1.4346553706526723,0.5269067550728623
