component,explained_variance_ratio
PC1,0.35116671154329443
PC2,0.21946944662089976
PC3,0.1442898914500605
PC4,0.09474490540559322
PC5,0.07647177344270444
PC6,0.04799059363232545
PC7,0.035994001668266065
PC8,0.029872676236856265
