ticker,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,rd_expense,stockholders_equity
FMC,3467.4,2238.9,9687.2,7615.700000000001,6.2,,2071.5
FNF,14445.0,602.0,109014.0,100042.0,5828.0,,7424.0
FOX,16300.0,2293.0,23195.0,11233.0,3324.0,,11962.0
FTI,9932.6,963.9,10118.2,6712.9,1764.6,83.1,3363.8
FTV,4159.1,579.2,11737.7,5284.300000000001,1083.2,259.2,6453.4
G,4476.888,631.255,4987.153,2597.542,490.812,,2389.611
GD,52550.0,4210.0,57249.0,31627.0,5120.0,,25622.0
GE,45855.0,8704.0,130169.0,111271.0,8537.0,1580.0,18677.0
GILD,29443.0,8510.0,59023.0,36320.0,10019.0,,22703.0
GIS,19486.6,2295.2,33071.1,23859.9,2918.2,256.6,9199.2
GM,185019.0,2697.0,281284.0,218116.0,26867.0,,61119.0
GNRC,4209.147,159.554,5573.679,2934.633,437.978,243.47,2632.422
GO,4688.759,224.912,3091.099,2107.436,222.133,,983.663
GOOGL,307394.0,73795.0,450256.0,125172.0,101746.0,45427.0,325084.0
GPN,7705.878,1400.107,53338.484,29559.003,2656.592,,22888.767
GS,13559.0,17176.0,1809320.0,1684348.0,45154.0,,124972.0
GSAT,272.986,8.651,2326.265,1970.536,621.65,6.1,355.729
GTLS,4264.0,40.7,9806.4,6430.7,292.7,41.9,3230.3
GWW,17942.0,1706.0,8962.0,5226.0,2015.0,,3736.0
HAL,22184.0,1283.0,25010.0,14505.0,2926.0,411.0,10461.0
HBAN,1562.0,2211.0,225106.0,200727.0,2482.0,,24342.0
HCA,75600.0,6784.0,60720.0,54693.0,12636.0,,6027.0
HD,164683.0,14156.0,105095.0,92282.0,16325.0,,12813.0
HIG,28368.0,3836.0,85997.0,67018.0,5922.0,,18979.0
HII,12484.0,605.0,12749.0,7676.0,1196.0,26.0,3489.0
HLT,12039.0,1457.0,16774.0,22120.0,2129.0,,5388.0
HON,37442.0,4729.0,73681.0,59777.0,6408.0,1812.0,13904.0
HPE,34296.0,57.0,75906.0,51218.0,2919.0,2518.0,24688.0
HPQ,55295.0,2529.0,41769.0,41423.0,3697.0,1602.0,346.0
HRL,12106.16,478.197,13393.119,5491.948,845.251,35.2,7901.171
HSIC,13184.0,398.0,11215.0,6421.0,712.0,,3245.0
HST,6114.0,765.0,13049.0,6317.0,1510.0,,6558.0
HSY,11692.576,883.259,13741.297,9104.547,2277.367,61.655,4636.75
HUBB,5844.6,887.1,8228.8,4370.9,1029.8,,3847.9
HUN,5683.0,284.0,7015.0,4058.0,289.0,120.0,2750.0
IBM,67535.0,10593.0,151880.0,119139.0,13193.0,8316.0,32648.0
IBP,2970.8,265.4,2068.0,1358.1,371.4,,709.9
ICE,12640.0,3315.0,136887.0,107896.0,4662.0,,28915.0
IDXX,4303.702,1059.464,3350.759,1745.376,1181.805,251.207,1605.383
IEX,3457.5,483.2,6927.0,2900.8,680.4,70.0,4027.5
IFF,10890.0,359.0,25539.0,11385.0,850.0,694.0,14154.0
ILMN,4343.0,850.0,6644.0,3921.0,1079.0,967.0,2723.0
IMAX,410.212,34.876,894.031,466.298,127.068,5.816,337.891
INCY,5141.242,1286.65,6957.973,1790.495,1413.498,2050.152,5167.478
INTC,52853.0,267.0,211429.0,97148.0,9697.0,13774.0,114281.0
IONQ,130.016,510.378,6570.358,2756.666,283.187,305.705,3799.517
IP,23634.0,3516.0,37964.0,23137.0,1698.0,,14827.0
IQV,16310.0,1360.0,29944.0,23314.0,2654.0,,6503.0
IR,7650.9,581.4,18297.2,8143.2,1355.7,114.3,10089.8
IRM,6901.737,152.254,21125.019,20144.012,1339.999,,981.007
ISRG,10064.7,2856.0,20458.7,2517.0,3030.5,1311.8,17824.0
ITW,16044.0,3066.0,16148.0,12922.0,3126.0,302.0,3226.0
JAZZ,4267.586,356.148,11659.34,7340.756,1355.773,,4318.584
JJSF,1583.233,65.595,1381.501,414.8059999999999,165.126,1.4,966.695
JLL,26115.6,792.1,17801.1,10178.1,1194.1,,7502.8
JNJ,94193.0,26804.0,199210.0,117666.0,24530.0,109.0,81544.0
JPM,182447.0,57048.0,4424900.0,4062462.0,147782.0,,362438.0
KEY,7513.0,1829.0,184381.0,164000.0,2208.0,,20381.0
KLAC,12156.162,4061.643,16067.926,11375.473,4081.903,1360.334,4692.453
KMB,16447.0,2021.0,17098.0,15596.0,2777.0,326.0,1502.0
KO,47941.0,13107.0,104816.0,72647.0,7408.0,,32169.0
KR,147642.0,1016.0,49953.0,44017.0,7311.0,,5927.0
KSS,15527.0,272.0,13362.0,9314.0,1380.0,,4048.0
KTOS,1346.8,22.0,2467.2,470.9,42.1,40.0,1996.3
LAC,,86.262,2579.048,992.399,61.222,,1058.754
LAZ,3186.466,236.831,4940.734,3951.604,519.325,,873.655
LDOS,17174.0,1448.0,13493.0,8531.0,1750.0,187.0,4916.0
LEA,23259.1,436.8,14843.1,9808.0,1088.8,,5035.1
LEN,34186.934,2078.179,34430.437,12289.828,216.812,,21959.417
LII,5195.3,805.8,4081.8,2918.7,757.6,103.4,1163.1
LIN,33986.0,6898.0,86817.0,47076.0,10350.0,147.0,38245.0
LMT,75048.0,5017.0,59840.0,53119.0,8557.0,2.0,6721.0
LNC,18212.0,1177.0,417204.0,406298.0,167.0,,10906.0
LOW,86286.0,6654.0,54144.0,64061.0,9864.0,,9917.0
LPLA,16989.479,863.024,18492.753,13148.268,411.404,,5344.485
LRCX,18435.591,5358.217,21345.26,11483.641,6173.264,2096.387,9861.619
LTBR,,19.580341,203.834795,0.8474510000000066,14.281478,9.210499,202.987344
LUMN,12402.0,1739.0,34342.0,33225.0,4738.0,,1117.0
LUNR,210.059,83.294,757.154,553.452,14.318,,754.964
LVS,13017.0,1627.0,21920.0,19986.0,3023.0,269.0,1590.0
LYFT,6316.261,2844.008,9030.053,5756.53,1168.438,451.419,3273.523
LYV,25201.406,495.972,22912.533,22641.526,1395.316,,271.007
M,22621.0,642.0,16238.0,11378.0,1430.0,,4860.0
MA,32791.0,14968.0,54157.0,46411.0,17648.0,,7737.0
MAA,2209.126,446.909,11975.383,6135.738,1078.175,,5662.851
MAR,26186.0,2601.0,27540.0,23769.0,3212.0,,3771.0
MAS,7562.0,810.0,5201.0,5125.0,1022.0,,185.0
MCD,26885.0,8563.0,59515.0,57724.0,10551.0,,1791.0
MCK,403430.0,4762.0,82323.0,80151.0,6155.0,,2172.0
MDB,2463.797,71.151,3758.848,806.49,505.148,716.303,2952.358
MDLZ,38537.0,2451.0,71487.0,45596.0,4514.0,400.0,25838.0
MET,77084.0,3379.0,745166.0,716245.0,17092.0,,28398.0
