ticker,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,rd_expense,stockholders_equity
A,6948.0,1303.0,12727.0,5986.0,1559.0,455.0,6741.0
AAPL,416161.0,112010.0,359241.0,285508.0,111482.0,34550.0,73733.0
ABNB,9917.0,4792.0,20959.0,12547.0,3884.0,1722.0,8412.0
ABT,44328.0,6524.0,86713.0,34583.0,9566.0,2942.0,52130.0
ADBE,23769.0,7130.0,29496.0,17873.0,10031.0,,11623.0
ADP,20560.9,4079.7,53369.3,47181.3,4939.7,988.6,6188.0
AEO,5547.236,191.983,4009.68,2316.527,456.182,,1693.153
AEP,21876.0,3696.0,114460.0,82204.0,6944.0,,31138.0
AFL,17164.0,3646.0,116470.0,86980.0,2555.0,,29490.0
AFRM,3224.412,52.186,11154.929,8085.919,793.909,,3069.009
AKAM,4208.175,452.031,11479.643,6502.272,1518.765,513.56,4977.371
ALB,5142.733,510.628,16374.211,6840.846,1282.267,51.398,9533.365
ALGN,4034.964,410.351,6233.693,2184.546,593.223,369.911,4049.147
ALL,67685.0,10282.0,119758.0,89169.0,10110.0,,30610.0
ALLY,7914.0,852.0,196002.0,180504.0,3729.0,,15498.0
ALNY,3713.937,313.747,4966.331,4177.155,524.08,1319.775,789.176
AMAT,28368.0,6998.0,36299.0,15884.0,7958.0,3570.0,20415.0
AMC,4848.9,632.4,8017.8,9912.6,119.8,,1894.8
AMD,34639.0,4335.0,76926.0,13927.0,7709.0,8091.0,62999.0
AME,7401.116,1480.142,16067.543,5438.757,1801.763,236.1,10628.786
AMGN,36751.0,7711.0,90586.0,81928.0,9958.0,,8658.0
AMPX,73.011,44.024,156.891,53.076,31.134,9.43,103.815
AMT,10644.6,2628.5,63190.4,52835.1,5464.0,,3652.5
AMZN,574785.0,30425.0,624894.0,338924.0,84946.0,,285970.0
ANF,5266.292,506.921,3541.874,2137.979,619.142,,1403.895
AON,17181.0,3695.0,50784.0,41236.0,3481.0,,9352.0
APA,9220.0,1434.0,17761.0,11668.0,4545.0,,6093.0
APD,12037.3,394.5,41059.5,23709.7,3256.8,96.3,15024.9
AR,4681.972,297.329,13010.05,5793.517,994.721,,7021.65
ASPI,23.849,159.843,498.02,235.122,37.78,12.358,204.151
ASTS,70.918,341.94,5014.387,2622.062,71.517,28.115,2392.325
ATNI,727.975,14.906,1673.254,1032.454,133.935,,444.292
AUR,3.0,816.0,2343.0,203.0,581.0,745.0,2140.0
AVB,3040.725,928.825,22192.137,10357.82,1671.105,,11611.34
AVGO,63887.0,23126.0,171092.0,89800.0,27537.0,10977.0,81292.0
AVY,8855.5,688.0,8801.7,6559.6,881.4,136.6,2242.1
AWI,1620.8,308.7,1924.7,1024.0,355.5,16.4,900.7
AXON,2779.536,124.656,7000.313,3757.655,211.339,684.308,3242.658
AXP,41304.0,10833.0,300052.0,266578.0,18428.0,,33474.0
BA,89463.0,2235.0,168235.0,162778.0,1065.0,3615.0,5454.0
BAC,113097.0,30509.0,3411738.0,3108495.0,12613.0,,303243.0
BAH,11980.0,935.0,7312.0,6309.0,1009.0,,1003.0
BALL,13161.0,915.0,19524.0,14103.0,1262.0,,5421.0
BAX,11244.0,957.0,20055.0,13953.0,845.0,518.0,6129.0
BBWI,7291.0,649.0,5069.0,3788.0,1102.0,,1281.0
BDX,21840.0,1678.0,55325.0,29935.0,3430.0,1265.0,25390.0
BIIB,9890.6,1292.9,29439.5,11182.7,2204.6,,18256.8
BILL,1462.57,23.799,10063.982,6149.942,350.644,340.059,3914.04
BJ,21457.274,578.377,7510.475,5312.816,1030.056,,2197.659
BK,20080.0,5549.0,472300.0,427492.0,6730.0,,44313.0
BKR,27733.0,2588.0,40881.0,22047.0,3810.0,600.0,18834.0
BLDR,15190.638,435.199,11237.53,6885.279,1215.886,,4352.251
BLK,24216.0,5553.0,169998.0,108456.0,3927.0,,55888.0
BMY,48194.0,7054.0,90038.0,71533.0,14156.0,9951.0,18473.0
BOOT,2253.859,146.996,2450.075,1131.419,304.903,,1318.656
BSX,20074.0,2892.0,43673.0,19440.0,4534.0,,24233.0
BWA,14316.0,277.0,13769.0,8155.0,1648.0,710.0,5442.0
BWXT,3198.425,328.945,4271.495,3038.483,479.848,13.867,1232.487
CACI,8627.824,499.83,8647.598,4753.653,547.009,,3893.945
CAG,11612.8,1152.4,20933.9,12001.2,1691.9,60.8,8932.7
CAH,222578.0,1561.0,53122.0,50341.0,2397.0,,2781.0
CARR,21747.0,1484.0,37190.0,23062.0,2513.0,625.0,14128.0
CASY,15940.899,546.52,8208.118,4699.448,1090.854,,3508.67
CAT,67589.0,8882.0,98585.0,77267.0,11739.0,2148.0,21318.0
CB,59402.0,10310.0,272327.0,192548.0,12816.0,,73757.0
CBOE,4714.2,1100.0,9305.3,4167.0,1752.6,,5138.3
CBRE,40550.0,1157.0,30877.0,21251.0,1559.0,,8878.0
CCI,4264.0,444.0,31518.0,33153.0,3057.0,,1635.0
CCL,26622.0,2760.0,51687.0,39403.0,6218.0,,12284.0
