ticker,profit_margin,debt_ratio,roe,asset_turnover,ocf_margin,rd_intensity,roa,equity_multiplier
A,0.18753598157743234,0.470338650113931,0.19329476338822132,0.5459259841282313,0.2243811168681635,0.06548647092688543,0.10238076530211361,1.887998813232458
AAPL,0.2691506412181824,0.7947533828265705,1.5191298333175105,1.1584451663368045,0.26788190147563085,0.08302075398703868,0.3117962593356549,4.8721874872852045
ABNB,0.483210648381567,0.598644973519729,0.5696623870660961,0.4731618874946324,0.3916507008167793,0.1736412221437935,0.22863686244572737,2.4915596766524013
ABT,0.14717560007218913,0.3988213993288204,0.12514866679455208,0.5112036257539239,0.21580039704024545,0.06636888648258438,0.07523670037941255,1.6633991943218875
ADBE,0.2999705498758888,0.6059465690263086,0.6134388712036479,0.8058380797396257,0.4220202785140309,0.0,0.2417276918904258,2.537726920760561
ADP,0.19842030261321245,0.8840531916288953,0.6592921784098255,0.385257067265263,0.24024726544071512,0.04808155285031297,0.07644282387065222,8.624644473173886
AEO,0.0346087673212389,0.5777336346042578,0.11338786276255011,1.383461024321143,0.08223590991982314,0.0,0.04787988068873327,2.3681734609925975
AEP,0.1689522764673615,0.718189760615062,0.11869741152289806,0.19112353660667483,0.31742548912049734,0.0,0.03229075659619081,3.6758944055494895
AFL,0.21242134700536006,0.7468017515239976,0.12363513055272973,0.14736842105263157,0.14885807504078302,0.0,0.03130419850605306,3.949474398101051
AFRM,0.01618465630322676,0.7248740892927243,0.017004186041813498,0.2890571513274535,0.24621822521439568,0.0,0.004678290646224642,3.6347006476683514
AKAM,0.10741734837548343,0.5664176142062954,0.09081722057688688,0.36657716620630104,0.3609082321909141,0.12203865095914498,0.039376747168879726,2.306366754658232
ALB,0.09929117455640804,0.41778171784887835,0.053562199705979995,0.31407516368269595,0.24933571313151975,0.009994296806775696,0.03118489190105099,1.7175688752082816
ALGN,0.10169880078236138,0.3504417044599405,0.10134257906665281,0.6472830792276745,0.1470206425633537,0.09167640653051676,0.0658279129241687,1.5395077037213023
ALL,0.15190958114796485,0.7445765627348486,0.3359032995753022,0.5651814492559996,0.14936839772475438,0.0,0.08585647722907865,3.9123815746488075
ALLY,0.10765731614859743,0.9209293782716503,0.05497483546264034,0.040377139008785624,0.47119029567854437,0.0,0.0043468944194447,12.646922183507549
ALNY,0.08447827736442487,0.8410947639212931,0.39756277433677656,0.7478230911310583,0.14111170975705836,0.35535740105446056,0.06317480651209112,6.29305883605178
AMAT,0.24668640721940213,0.437587812336428,0.34278716629928974,0.7815091324829885,0.28052735476593343,0.1258460236886633,0.1927876801013802,1.778055351457262
AMC,0.13042133267338984,1.2363241787023873,0.3337555414819506,0.6047668936616029,0.024706634494421415,0.0,0.07887450422809249,4.2314756174794175
